FP_n1	FP_n2	FP_n3	FP_f1	FP_f2	FP_f3	FP_p1	FP_p2	FP_p3	Ch_n1	Ch_n2	Ch_n3	Ch_f1	Ch_f2	Ch_f3	Ch_p1	Ch_p2	Ch_p3	Ch_FDR005	Ch_FDR001	FP_FDR005	FP_FDR001	Protein_Group	Proteins
-0.009	0.065	-0.845	0.526	0.219	0.045	0.264	0.177	-0.443	-1.3	-1.126	-0.872	0.84	0.959	0.862	0.132	0.353	0.152	significant	significant	not significant	not significant	A0A0J9YTR2	0610012G03RIK
0	0	0	0	0	0	0	0	0	0.002	1.276	0.636	0.001	-0.03	0.157	-0.534	-0.94	-0.568	significant	not significant	not significant	not significant	A2AII6	1110051M20RIK
-0.53	-0.65	-0.44	0.669	0.521	0.627	0.212	0.131	-0.542	-0.243	-0.098	-0.25	0.827	0.119	0.599	-0.423	-0.213	-0.319	significant	not significant	significant	significant	A0A1L1SUR6	1700017B05RIK
-0.159	-0.154	-0.097	-0.407	-0.141	-0.189	0.3	0.378	0.47	0.754	0.916	1.312	-0.418	-0.914	-0.375	1.001	-1.008	-1.268	significant	not significant	significant	not significant	F8WIU1	1700037H04RIK
-0.022	-0.708	-0.723	0.055	0.361	0.105	0.408	0.163	0.361	0.886	1.519	-3.831	1.48	1.411	-4.417	0.563	1.798	0.591	not significant	not significant	significant	not significant	Q8BWE1	1810024B03RIK
0.304	0.289	0.33	0.127	0.2	-0.004	-0.413	-0.303	-0.529	0.646	0.624	0.585	-0.073	0.012	-0.064	-0.558	-0.622	-0.551	significant	significant	significant	not significant	G5E8E3	2310022A10RIK
0.22	-0.294	-0.207	0.072	0.572	0.404	-0.228	-0.122	-0.416	-2.421	1.29	0.524	0.254	-0.138	0.262	0.53	-0.168	-0.133	not significant	not significant	not significant	not significant	Q3TE80	2410002F23RIK
0.368	0.228	0.286	-0.052	-0.286	-0.222	0.038	-0.052	-0.307	-0.56	-0.389	-0.44	0.321	-0.335	0.237	0.527	0.365	0.274	significant	not significant	not significant	not significant	A0A3Q4EGR9	2700062C07RIK
-2.184	0.463	1.365	0.573	0.081	0.212	0.548	-0.654	-0.403	-0.825	-0.769	-0.644	0.651	0.628	0.558	0.334	0.091	-0.025	significant	significant	not significant	not significant	A0A1B0GR85	2900026A02RIK
0	0	0	0	0	0	0	0	0	1.611	1.736	1.527	-0.013	-0.115	-0.238	-1.399	-1.404	-1.704	significant	significant	not significant	not significant	Q9CZ70	3110001I22RIK
-0.013	-0.339	-0.2	0.203	0.012	-0.217	0.269	0.109	0.176	-0.585	-0.628	-0.69	0.528	0.309	0.105	0.335	0.184	0.442	significant	not significant	not significant	not significant	A0A0G2JEY4	3110082I17RIK
0.525	0.344	0.314	0.112	-0.378	0.168	0.011	-0.217	-0.879	0.135	0.252	0.339	0.527	0.424	0.519	-0.871	-0.318	-1.008	significant	significant	significant	not significant	E9QAG4	4930522L14RIK
-0.974	-0.022	-0.176	0.7	0.642	0.342	0.461	-0.218	-0.754	0.163	0.274	0.191	-0.8	-0.782	-1.005	0.641	0.708	0.609	significant	significant	significant	not significant	A0A0R4J1C3	4933427D14RIK
-0.516	-0.452	-0.422	-0.395	-0.346	-0.346	0.875	0.899	0.702	-0.634	-1.219	-0.334	0.984	0.662	-0.227	-1.073	1.663	0.178	not significant	not significant	significant	significant	B1AQG3	5730455P16RIK
-0.576	-0.239	-1.117	-0.118	-0.659	-0.244	0.979	1.129	0.844	-0.706	1.071	1.052	-2.389	2.057	0.949	-0.084	-0.957	-0.994	not significant	not significant	significant	significant	J3KMQ6	5730455P16RIK (isof.)
1.301	0.241	1.008	0.755	0.641	0.939	-1.222	-1.739	-1.924	1.282	1.633	1.693	0.184	0.495	0.682	-2.039	-1.7	-2.229	significant	significant	significant	significant	"J3QPX0;Q3UT17"	5730507C01RIK
0.126	-0.084	-0.181	0.157	0.06	0.271	-0.175	-0.092	-0.081	-1.039	-0.717	-1.572	-0.66	-0.733	-0.488	3.377	-1.06	2.893	significant	significant	not significant	not significant	Q0VAW6	8030462N17RIK
-0.936	-0.718	-1.311	0.92	0.934	0.2	0.587	0.088	0.235	1.031	-0.321	0.176	0.63	-0.031	-0.039	-0.484	-0.291	-0.672	not significant	not significant	significant	significant	H3BKP8	9930021J03RIK
0.67	0.747	-0.273	-1.216	-0.28	-0.981	0.41	0.676	0.248	0.536	0.585	0.554	0.753	-0.028	0.219	-0.605	-1.282	-0.733	significant	significant	significant	significant	"A0A0A0MQL2;E9PUH0"	A430005L14RIK
0.278	0.047	0.162	0.535	0.529	0.464	-0.525	-0.784	-0.706	0.709	1.325	1.287	3.449	3.144	2.305	-3.877	-3.92	-4.421	significant	significant	significant	significant	E9PZ45	A630010A05RIK
0.537	0.681	-0.009	1.543	0.038	-1.447	-1.191	0.423	-0.577	0.52	0.771	-0.351	-0.147	0.935	0.233	-0.717	-0.504	-0.739	significant	not significant	not significant	not significant	A0A338P6Q3	A630089N07RIK
-0.404	-0.033	-0.006	0.164	-0.009	-0.094	0.095	-0.152	0.439	-0.094	0.006	0.153	0.357	0.257	-0.014	-0.217	-0.337	-0.111	not significant	not significant	not significant	not significant	P58742	AAAS
-0.643	-0.43	-0.575	-0.436	-0.484	-0.299	0.882	0.894	1.09	-0.868	-0.481	-0.778	0.261	0.817	0.138	0.677	0.097	0.137	significant	not significant	significant	significant	Q9D2R0	AACS
0.038	-0.022	-0.226	-0.159	-0.296	-0.436	0.381	0.391	0.328	0.614	0.385	0.973	0.763	-1.384	0.443	-2.191	0.257	0.14	not significant	not significant	significant	not significant	A0A571BEI2	AAK1 (isof.)
-0.074	-0.159	-0.203	-0.598	-0.37	-0.425	0.453	0.713	0.661	1.658	0.787	0.993	2.617	-1.844	2.023	-2.556	-2.412	-1.266	significant	significant	significant	significant	"Q3UHJ0;Q3UHJ0-2"	AAK1
0.178	0.017	0.155	-0.173	-0.331	-0.192	0.08	0.21	0.057	-0.248	-0.182	0.09	0.931	1.087	0.508	-0.68	-1.029	-0.477	significant	significant	not significant	not significant	"J3QN89;Q3TJ22"	AAMP
-1.016	-0.177	-0.346	0.025	0.063	0.127	0.331	0.38	0.614	-0.757	-0.544	-0.646	0.557	0.678	0.338	-0.39	0.165	0.599	significant	not significant	significant	not significant	Q9D2V5	AAR2
0.685	0.634	0.741	0.043	0.155	0.124	-0.837	-0.826	-0.718	-0.069	-0.11	0.035	1.079	1.2	0.661	-0.726	-1.184	-0.886	significant	significant	significant	significant	Q8BGQ7	AARS1
-0.02	0.149	0.427	0.101	-0.161	0.337	-0.276	-0.264	-0.293	0.763	0.551	0.807	1.051	0.345	0.414	-1.267	-1.899	-0.765	significant	significant	not significant	not significant	Q14CH7	AARS2
-0.275	-0.335	-0.05	-0.042	-0.245	-0.105	0.263	0.446	0.345	-0.711	-0.221	-1.239	0.59	0.966	0.791	-0.121	-0.15	0.094	significant	significant	significant	not significant	Q3THG9	AARSD1
-0.294	-0.019	-0.043	-0.135	0.095	-0.186	0.116	0.113	0.352	-0.324	-0.048	-0.078	0.683	1.007	-0.2	-0.768	-0.388	0.116	not significant	not significant	not significant	not significant	"Q9CQF6;Q9CQF6-2"	AASDHPPT
0.309	0.324	0.402	-0.008	-0.264	-0.241	-0.16	-0.201	-0.162	0.394	0.323	0.301	-0.195	-0.201	-0.268	-0.07	-0.204	-0.081	not significant	not significant	significant	not significant	Q9JKX4	AATF
-0.233	0.252	-0.597	0.591	-1.024	0.909	-0.27	-0.534	0.905	-2.22	-0.934	-1.233	-0.66	1.61	-1.647	1.677	1.634	1.772	significant	significant	not significant	not significant	Q9DC29	ABCB6
-0.692	-0.786	-0.366	0.406	0.176	0.517	0.263	0.212	0.269	-1.036	-0.677	-0.374	0.793	0.417	0.736	-0.502	0.365	0.278	significant	not significant	significant	significant	Q61102	ABCB7
0.719	0.721	0.719	-0.506	-0.537	-0.537	-0.107	-0.155	-0.318	1.022	1.041	1.019	-1.038	-0.911	-0.759	-0.18	-0.127	-0.066	significant	significant	significant	significant	"E9Q236;E9Q467"	ABCC4
-1.185	-0.786	-1.341	0.145	1.022	0.527	0.183	0.586	0.849	-0.622	-1.725	-0.375	0.622	0.251	-0.665	1.205	0.974	0.336	significant	significant	significant	significant	Q9R1X5	ABCC5
0	0	0	0	0	0	0	0	0	0.429	0.432	0.508	0.196	0.051	-1.099	-0.175	-0.104	-0.239	not significant	not significant	not significant	not significant	P48410	ABCD1
0.072	-0.228	0.226	0.053	0.235	-0.202	0.204	-0.013	-0.348	0.927	0.989	0.903	-0.096	-0.062	-0.69	-0.723	-0.324	-0.925	significant	significant	not significant	not significant	P55096	ABCD3
0.494	0.52	0.666	-0.425	-0.489	-0.236	-0.214	-0.134	-0.182	0.754	0.823	0.787	0.12	0.246	-0.369	-0.734	-0.828	-0.8	significant	significant	significant	significant	P61222	ABCE1
-0.081	-0.098	-0.13	0.032	0.072	0.151	0.032	0.042	-0.021	-0.079	-0.186	-0.168	0.313	0.25	0.096	-0.017	-0.166	-0.043	not significant	not significant	not significant	not significant	Q6P542	ABCF1
