Cyt3	Cyt1	Cyt2	FP3	FP2	FP1	Nuc3	Nuc2	Nuc1	1wChAC3	1wChAC2	1wChAC1	2wChAC2	2wChAC1	2wChAC3	3wChAC2	3wChAC3	3wChAC1	Cluster	Protein.Group	Proteins
1.53473	2.33929	2.12547	-0.417494	0.482365	-0.153135	-0.166649	-0.269122	-0.355989	-0.618014	-0.486366	-0.499806	-1.26589	-1.03289	-0.407999	-0.33362	-0.0514527	-0.423435	VI - Golgi+vesicles	A0A0J9YTR2	0610012G03Rik
-0.116669	-0.770894	-0.477013	0.850434	0.937976	0.929617	0.650349	0.681598	0.588587							-1.8649		-1.40908	IV - Nuclear periphery	J3QNR9	1110059E24Rik
0.822794	0.825115	0.946355	0.983577	0.998716	0.880248	-0.1561	-0.12612	-0.131404						-1.19857	-1.55436	-0.658224	-1.63203	VII - Ribosomes	F8WIU1	1700037H04Rik
1.49577	1.49188	1.555	1.0436	0.978163	1.05398	-0.902175	-0.946504	-0.963393	-0.609371	-0.319879	-0.713164	-0.894066		-0.939533	-0.227721	-0.56216	-0.54042	VIII - Cytoplasm	Q8BWE1	1810024B03Rik
-2.07547	-2.42508	-1.53142	-0.248049	-0.165913	-0.418777	0.199436	0.402095	0.429197	0.656012	0.717557	0.726185	0.67066	0.698812	0.649363	0.535609	0.569719	0.610074	II - Chromatin I	G5E8E3	2310022A10Rik
1.61878	1.66353	0.735096	-0.470336	-0.4785	0.00207454	-1.12927	-1.39089	-0.376767	-0.690153	0.848215	1.0544	0.784423	-0.37045	0.583888		-1.07571	-1.30833	VI - Golgi+vesicles	Q3TE80	2410002F23Rik
0.719352	0.756709	0.801153	0.573906	0.549932	0.664955	-0.554058	-0.341124	-0.975615		-2.19521								VIII - Cytoplasm	A0A087WQ28	2410004B18Rik
-0.67859	-1.97762	-2.67332	0.420953	0.245614	0.522851	1.20634	1.09837	1.20218	0.62123	0.449312	0.156031	-0.117663	0.0787027	0.121726	-0.0618758	-0.196211	-0.418026	I - Nucleoplasm	A0A3Q4EGR9	2700062C07Rik
-1.42563	-0.568738	-2.14593	-1.06551	-0.845008	-1.41872	0.453899	0.420642	0.61195	0.155139	0.54989	0.148737	0.637547	0.868578	1.4594	0.389889	1.05259	0.721286	II - Chromatin I	A0A1B0GR85	2900026A02Rik
-0.38426	-0.165305	-0.0985023	1.0381	1.03263	1.15728	-1.33452	-1.24543											V - Plasma membrane	F6SAX2	3110009E18Rik
1.2502	1.1558	1.01342	-0.0895371	-0.00243373	0.113096	-1.25662	-1.30345	-0.88047										VI - Golgi+vesicles	A0A1W2P8C2	4930430F08Rik
1.57354	1.18385	1.43026	0.429414	0.917148	0.955621	-1.68978	-1.68702	-1.58091	-0.498592	-0.535622	-0.0638705	-0.296472	0.0130614	-0.154127	-0.0601939	0.406236	-0.342547	V - Plasma membrane	E9QAG4	4930522L14Rik
0.68769	0.53706	0.811511	0.58443	0.688659	0.669203	-1.171	-1.44871	-1.35884										V - Plasma membrane	A0A1L1SSF8	4931406C07Rik
1.33865	1.41244	1.36347	0.637689	0.645294	0.626973		0.361035		-1.2702		-0.805142	-0.816015		-1.0026	-0.831763	-0.881668	-0.778167	IX - Mitochondria	E9PWP9	4931408C20Rik
0.757633	0.777517	0.939403	1.08552	1.04786	1.00153	0.400455	0.46844	0.460717	-1.06065	-1.14824	-1.08534	-1.19501	-1.31775	-1.13208				VII - Ribosomes	B1AQG3	5730455P16Rik
0.779709	0.889664	0.819161	-2.04217	-0.951367	-0.643591	0.385952	0.381166	0.381474										III - Chromatin II	Q6GQT1	A2M
1.14015	1.20798	1.12591	-1.86166	-1.21591	-1.80635	-1.14775	-0.389042	-1.16475	0.43267	0.388443	0.362868	0.329605	0.572648	0.57585	0.524651	0.462788	0.461904	III - Chromatin II	"A0A0A0MQL2;E9PUH0"	A430005L14Rik
-1.58648	-1.5975	-1.70439	-0.59271	-0.72144	-1.12181	-0.168635	-0.134888	-0.126949	0.778252	0.749953	0.627555	0.832064	0.874712	0.899471	1.09856	0.990867	0.903368	II - Chromatin I	P58742	AAAS
1.53463	1.5828	1.5579	0.996434	1.09811	1.02423	-1.18732	-1.27509	-1.16019	-0.466558	-0.536496	-0.524045	-0.464578	-0.722087	-0.236616	-0.471931	-0.431571	-0.317613	VI - Golgi+vesicles	Q9D2R0	AACS
1.86906	1.89618	2.01597	0.5074	0.42026	0.60635	-0.969481	-0.943047	-0.830404	-0.732247	-0.381197	-0.726655	-0.43504	-0.54196	-0.349529	-0.54859	-0.576105	-0.280961	VI - Golgi+vesicles	"Q3UHJ0;Q3UHJ0-2"	AAK1
1.17821	1.34445	1.44511	0.834868	1.03342	1.02193	-0.163885	-0.0254733	0.0364867	-1.07042	-0.348342	-0.292565	-0.269983	-0.32928	-0.167595	-0.459325	-1.94408	-1.82353	VIII - Cytoplasm	A0A571BEI2	AAK1 (isof.)
1.32331	1.30184	1.40272	1.26905	1.21406	1.28849	-1.00074	-1.14714	-1.28847	-0.147743	-0.357954	-0.302264	-0.162044	-0.310705	-0.489444	-0.976937	-0.794471	-0.821554	VIII - Cytoplasm	"J3QN89;Q3TJ22"	AAMP
1.30071	1.13866	1.26291	1.34212	1.21257	1.13372	0.235315	0.332657	0.109052	-0.885874	-1.29143	-0.697126	-0.626958	-0.90474	-0.70058	-1.00774	-0.734095	-1.21918	VII - Ribosomes	Q9D2V5	AAR2
1.66477	1.68127	1.70312	1.02144	0.977578	1.00101	-0.866253	-0.775708	-0.826054	-0.612784	-0.588421	-0.620204	-0.604331	-0.644468	-0.611583	-0.641279	-0.596466	-0.661637	VIII - Cytoplasm	Q8BGQ7	AARS1
1.76718	1.70808	1.69796	0.921307	0.701674	0.696367	-1.09049	-1.41148	-1.16665	-0.346791	-0.465662	-0.424853	-0.346756	-0.257344	-0.516346	-0.552191	-0.542264	-0.371733	VI - Golgi+vesicles	Q14CH7	AARS2
1.6683	1.66188	1.74858	0.597873	0.477742	0.377048	-0.740477	-1.5542	-1.27016	-0.551009	-0.125991	0.130774	0.170828	-0.477211	-0.630115		-0.763655	-0.720198	VI - Golgi+vesicles	Q3THG9	AARSD1
1.64583	1.62512	1.6717	0.850268	0.966246	0.834313	0.0218427	0.0690199	-0.0763219	-0.830487	-0.807597	-0.816205	-0.869881	-0.673694	-0.803496	-0.904391	-0.965059	-0.937212	IX - Mitochondria	Q9CQF6	AASDHPPT
-1.92825	-1.99132	-2.15439	-0.190606	-0.322515	-0.233474	0.18098	0.203829	0.162976	0.679631	0.734807	0.700211	0.640324	0.688265	0.676227	0.703795	0.71153	0.737984	II - Chromatin I	Q9JKX4	AATF
1.56828	1.48584	1.55272	1.24259	1.07678	0.867012	-0.381927	-0.100564	-0.20414	-0.765038	-0.865941	-1.01249	-0.67222	-0.730437	-0.655977	-1.10782	-1.10934	-0.187323	VIII - Cytoplasm	Q9JI39	ABCB10
0.370258	0.247815	0.247896	0.980942	0.960849	0.9991	-1.21126	-1.1962	-1.3994										V - Plasma membrane	P06795	ABCB1B
1.91312	1.93772	1.8637	0.654253	0.572697	0.544323	-1.05095	-0.818609	-0.668479	-0.424168	-0.541096	-0.595827	-0.583962	-0.445394	-0.489948	-0.824156	-0.582827	-0.460401	VI - Golgi+vesicles	Q61102	ABCB7
1.45357	1.30998	1.38486	0.602556	0.746816	0.605444	-0.242088	0.445257	-0.430499			-0.592508	-1.21387	-0.881964	-1.00342	-1.60646	-0.57767		IX - Mitochondria	O35379	ABCC1
-0.136434	-0.166207	-0.364901	-1.01601	-1.46488	-1.16851	-0.933737	-1.47487	-1.22858	1.3152	1.24442	1.24519	0.734415	0.707325	0.689445	0.577273	0.668453	0.772412	III - Chromatin II	P55096	ABCD3
1.60966	1.68912	1.57037	0.762323	0.766408	0.678051	0.340074	0.273641	0.270043	-1.00502	-0.850245	-0.818205	-0.76664	-0.691767	-0.73799	-1.00012	-1.02197	-1.06773	IX - Mitochondria	P61222	ABCE1
0.148798	0.186506	-0.121793	1.16863	1.07347	1.15583	1.42181	1.4452	1.39583	-1.01558	-0.972526	-1.03525	-0.89383	-0.772214	-0.736971	-0.872219	-0.902517	-0.673177	IV - Nuclear periphery	Q6P542	ABCF1
1.66887	1.80251	1.7804	0.886482	0.725213	0.83224	-0.279453	-0.324556	-0.0732658	-0.685616	-0.552455	-0.629724	-0.827503	-0.787302	-0.892817	-0.895334	-0.860541	-0.887161	IX - Mitochondria	Q99LE6	ABCF2
1.66155	1.72562	1.49423	0.970164	1.05016	0.998173	-1.20998	-0.744855	-0.780402	-0.554178	-0.703989	-0.611016	-0.7849	-0.609054	-0.628896	-0.165071	-0.269768	-0.837788	VIII - Cytoplasm	Q8K268	ABCF3
1.27539	1.32981	1.46201	1.31918	1.00818	0.853613	0.484333	0.150037	0.256583	-0.962546	-0.870521	-0.784977	-1.1051	-0.640833	-0.816999	-1.01389	-1.23796	-0.70631	VII - Ribosomes	Q7TMS5	ABCG2
0.99569	1.04627	0.924911	0.239497	0.286818	0.281106	-1.46487	-1.03793	-1.27148										V - Plasma membrane	Q6PE15	ABHD10
1.40606	1.45727	1.40163	1.10711	1.07181	0.96189		-0.664628		-0.703502	-0.496021	-0.628909	-0.692269	-0.904112	-0.816357	-0.753291	-0.894896	-0.851778	VIII - Cytoplasm	Q8K4F5	ABHD11
0.829874	0.796821	0.830522	1.04336	1.1302	1.12331	0.97158	0.979557	0.951667	-0.966422	-1.02996	-1.10057	-0.747357	-0.71179	-0.804557	-1.09361	-1.16969	-1.03294	VII - Ribosomes	"Q8CBW3;Q8CBW3-2;Q8CBW3-3;Q8CBW3-4;Q8CBW3-5"	ABI1
0.564167	0.705428	0.663198	0.948959	0.960213	1.00751	1.08734	1.03966	0.983058	-1.6498	-0.878703		-0.738363	-0.803402	-0.736061	-1.04594	-0.792482	-1.31477	VII - Ribosomes	P62484	ABI2
0.752909	0.681879	0.804109	0.622371	0.57003	0.72926	-0.553598	-0.610228	-0.82441								-2.17232		VIII - Cytoplasm	Q80ZQ9	ABITRAM
0.873863	0.711408	0.805373	-1.25693	-1.84862	-1.04671	-1.0179	-0.861526	-1.29021	0.25194	-0.199917	0.188278	-0.330085	0.706738	1.16628	0.893594	0.905284	1.34914	III - Chromatin II	"P00520;P00520-2;P00520-3;P00520-4"	ABL1
1.48584	1.50956	1.67843	1.11635	1.03038	0.917282	-0.17748	-0.077104	-0.0767515	-0.772031	-0.920532	-1.02616	-0.554787	-0.762938	-0.508925	-0.920977	-1.22322	-0.716926	VIII - Cytoplasm	Q4JIM5	ABL2
-1.11606	-0.337839	-0.272619	0.456308	0.579641	0.611848	1.60781	1.3291	1.63019		-1.17802		-0.589964		-0.54729	-1.15282	-1.12393	0.10365	IV - Nuclear periphery	"Q8K4G5;Q8K4G5-2;Q8K4G5-3;Q8K4G5-4"	ABLIM1
1.70208	0.929637	1.94904	0.0730914	-0.171248	0.36681	0.0489509	0.376144	1.04414	-0.802595	-0.729517	-0.711426	-1.3618	-0.866218	-1.07084			-0.776259	IX - Mitochondria	"Q8BL65;Q8BL65-2;Q8BL65-3;Q8BL65-4;Q8BL65-5"	ABLIM2
1.42406	1.38099	1.53004	1.28388	1.31214	1.27875	-0.712828	-0.768456	-0.761299	-0.619191	-0.615365	-0.491863	-0.692929	-0.543042	-0.735494	-0.717449	-0.749448	-0.802499	VIII - Cytoplasm	"Q5SSL4;Q5SSL4-2;Q5SSL4-4"	ABR
1.03812	0.882693	1.04397	1.41415	1.61295	1.42336	-0.577335	-0.850671	-0.299628	-0.514131	-1.19396	-1.1822	-0.577989	-0.619105		0.0249533	-0.535936	-1.08925	VIII - Cytoplasm	A0A571BG95	ABR (isof.)
